"","grpvar","term","grp","condval","condsd"
"1","police_id","(Intercept)","109495",-0.172502023358546,0.270998037554074
"2","police_id","(Intercept)","109496",-0.0911349085540246,0.270998037554074
"3","police_id","(Intercept)","109498",-0.316110672009851,0.297794386146471
"4","police_id","(Intercept)","109499",-0.375957875063468,0.297794386146471
"5","police_id","(Intercept)","109501",-0.0456899010663449,0.283450634536651
"6","police_id","(Intercept)","109502",0.0941579361599356,0.314562173338915
"7","police_id","(Intercept)","109503",-0.218154936786511,0.314562173338915
"8","police_id","(Intercept)","109504",0.583164454803909,0.297794386146471
"9","police_id","(Intercept)","109505",0.218350844780719,0.270998037554074
"10","police_id","(Intercept)","109507",-0.0304163881637235,0.26005450144911
"11","police_id","(Intercept)","109510",-0.377108246128809,0.283450634536651
"12","police_id","(Intercept)","109512",-0.239128058187728,0.283450634536651
"13","police_id","(Intercept)","109513",-0.208065184561543,0.283450634536651
"14","police_id","(Intercept)","109514",-0.0529696970168897,0.270998037554074
"15","police_id","(Intercept)","109515",0.131280240340568,0.283450634536651
"16","police_id","(Intercept)","109516",-0.181135785694175,0.283450634536651
"17","police_id","(Intercept)","109519",0.796658630525129,0.283450634536651
"18","police_id","(Intercept)","109521",-0.0384390302828221,0.270998037554074
"19","police_id","(Intercept)","109522",-0.0565572563928047,0.283450634536651
"20","police_id","(Intercept)","109524",0.0762225000855133,0.334523951544286
"21","police_id","(Intercept)","109525",0.151594121230938,0.270998037554074
"22","police_id","(Intercept)","109526",-0.215890734438952,0.297794386146471
"23","police_id","(Intercept)","109527",0.249037339927587,0.297794386146471
"24","police_id","(Intercept)","109528",0.0257712946648068,0.283450634536651
"25","police_id","(Intercept)","109530",-0.2092962403505,0.270998037554074
"26","police_id","(Intercept)","109531",-0.317981860138198,0.270998037554074
"27","police_id","(Intercept)","109532",-0.190504419402336,0.358842240538798
"28","police_id","(Intercept)","109533",0.457280484884816,0.270998037554074
"29","police_id","(Intercept)","109534",-0.269877292523355,0.283450634536651
"30","police_id","(Intercept)","109535",0.388549403027734,0.297794386146471
"31","police_id","(Intercept)","109536",0.181809114312488,0.270998037554074
