"","police_id","n"
"399","224676",4
"400","224687",1
"401","224696",2
"402","224701",14
"403","224702",6
"404","224704",14
"405","224790",13
"406","224791",7
"407","224793",16
"408","224794",14
"409","224796",12
"410","224797",11
"411","224802",9
"412","224805",5
"413","224806",10
"414","224810",4
"415","224811",14
"416","224814",3
"417","224815",12
"418","224817",4
"419","224823",11
"420","224824",15
"421","224827",7
"422","224831",7
"423","224833",15
"424","224834",16
"425","224839",9
"426","224843",3
"427","224844",6
"428","224846",12
"429","224851",14
"430","224862",17
"431","224866",3
"432","224874",3
"433","224875",2
"434","224877",5
"435","224879",2
"436","224887",6
"437","224895",9
"438","224900",3
"439","224901",3
"440","224903",6
"441","224904",16
"442","224905",4
"443","224906",14
"444","224907",8
"445","224908",5
"446","224945",5
"447","224946",16
"448","224949",15
"449","224953",5
"450","224954",14
"451","224955",16
"452","224960",15
"453","224961",7
"454","224962",10
"455","224966",13
"456","224967",13
"457","224969",2
"458","224972",3
"459","224975",16
"460","224986",6
"461","225147",1
"462","225148",9
"463","225153",7
"464","225160",11
"465","225161",7
"466","225162",7
"467","225164",16
"468","225165",13
"469","225166",1
"470","225167",7
"471","225168",7
"472","225170",3
"473","225172",11
"474","225173",6
"475","225179",5
"476","225184",14
"477","225187",4
"478","225205",2
"479","225212",14
"480","225217",15
"481","225218",12
"482","225741",4
"483","225745",14
"484","225748",9
"485","225750",2
"486","225764",16
"487","225768",16
"488","225773",14
"489","225777",15
"490","225778",16
"491","225789",17
"492","225795",13
"493","225797",10
"494","225803",6
"495","225805",16
"496","225808",14
"497","225809",12
"498","225810",15
"499","225811",3
"500","225813",2
"501","225819",17
"502","225824",8
"503","225827",17
"504","225828",2
"505","225840",10
"506","225845",12
"507","225846",9
"508","225850",4
"509","225853",2
"510","225857",1
"511","225862",16
"512","225870",7
"513","225872",6
"514","225874",3
"515","225878",11
"516","225881",12
"517","225885",6
"518","225886",15
"519","225892",1
"520","225896",13
"521","225899",2
"522","225900",4
"523","225901",7
"524","225904",13
"525","225909",4
"526","225930",4
"527","225934",7
"528","225937",2
"529","225948",15
"530","225950",14
"531","225951",10
"532","225962",15
"533","225963",10
"534","225968",17
"535","225969",15
"536","225970",16
"537","225978",14
"538","225981",7
"539","225990",14
"540","225993",15
"541","225994",10
"542","225995",3
"543","225996",4
"544","226002",5
"545","226011",16
"546","226016",16
"547","226020",17
"548","226022",7
"549","226023",5
"550","226027",9
"551","226047",13
"552","226053",3
"553","226054",4
"554","226056",1
"555","226057",15
"556","226060",7
"557","226065",3
"558","226066",5
"559","226069",13
"560","226070",8
"561","226075",15
"562","226078",11
"563","226081",3
"564","226086",4
"565","226088",2
